type,entry_time,entry_price,stop_loss,take_profit,orb_high,orb_low,orb_range,position_size,exit_time,exit_price,exit_reason,pnl,symbol,trade_duration,capital_after,cumulative_pnl,running_max,drawdown,symbol_name,category
SHORT,2025-06-11 16:00:00+00:00,216.18990244140625,218.13509450683597,212.29991831054681,218.13499450683597,216.19000244140625,1.944992065429716,44,2025-06-11 20:40:00+00:00,212.29991831054681,TAKE_PROFIT,171.159301757815,AMZN,280.0,9887.55114445801,-112.44885554199186,95.82493144531247,-208.27378698730433,Amazon,stocks
SHORT,2025-06-11 16:05:00+00:00,328.8199073242188,335.5001,315.4599219726563,335.5,328.82000732421875,6.67999267578125,15,2025-06-11 20:40:00+00:00,315.4599219726563,TAKE_PROFIT,200.3997802734375,TSLA,275.0,10472.11772587891,472.11772587890846,472.11772587890846,0.0,Tesla,stocks
SHORT,2025-06-11 16:10:00+00:00,178.15990366210937,180.36609731445313,173.74791635742187,180.36599731445312,178.16000366210938,2.20599365234375,45,2025-06-11 20:40:00+00:00,180.36609731445313,STOP_LOSS,-99.27871435546905,GOOGL,270.0,9867.746647705077,-132.2533522949239,151.0382999511707,-283.2916522460946,Google,stocks
SHORT,2025-06-11 17:15:00+00:00,306.5598975585937,307.7100914550781,304.25990976562485,307.7099914550781,306.5599975585937,1.1499938964844318,33,2025-06-11 18:05:00+00:00,307.7100914550781,STOP_LOSS,-37.956398583984594,GLD,50.0,10192.32017402344,192.3201740234408,268.23297119141,-75.91279716796919,Gold ETF,commodities
LONG,2025-06-11 17:25:00+00:00,604.2501,602.2499,608.2501,604.25,602.25,2.0,16,2025-06-11 18:00:00+00:00,602.2499,STOP_LOSS,-32.0031999999992,SPY,35.0,10151.827750000004,151.82775000000402,215.8341500000024,-64.0063999999984,S&P 500 ETF,stocks
SHORT,2025-06-11 17:55:00+00:00,533.1949073242188,535.8100975585937,527.9649268554688,535.8099975585938,533.1950073242188,2.614990234375,18,2025-06-11 21:00:00+00:00,527.9649268554688,TAKE_PROFIT,94.1396484375,QQQ,185.0,9973.644661914062,-26.35533808593027,12.584721093753615,-38.940059179683885,Nasdaq ETF,stocks
SHORT,2025-06-11 18:00:00+00:00,602.2499,604.2501,598.2499,604.25,602.25,2.0,16,2025-06-11 20:40:00+00:00,598.2499,TAKE_PROFIT,64.0,SPY,160.0,10215.827750000004,215.82775000000402,215.8341500000024,-0.0063999999983934686,S&P 500 ETF,stocks
LONG,2025-06-11 18:10:00+00:00,307.7100914550781,306.5598975585937,310.01007924804696,307.7099914550781,306.5599975585937,1.1499938964844318,33,2025-06-11 22:30:00+00:00,310.01007924804696,TAKE_PROFIT,75.8995971679725,GLD,260.0,10268.219771191412,268.2197711914133,268.23297119141,-0.013199999996686529,Gold ETF,commodities
LONG,2025-06-11 20:45:00+00:00,180.36609731445313,178.15990366210937,184.77808461914063,180.36599731445312,178.16000366210938,2.20599365234375,44,2025-06-11 20:50:00+00:00,178.15990366210937,STOP_LOSS,-97.07252070312529,GOOGL,5.0,9770.674127001952,-229.3258729980492,151.0382999511707,-380.3641729492199,Google,stocks
SHORT,2025-06-11 20:50:00+00:00,178.15990366210937,180.36609731445313,173.74791635742187,180.36599731445312,178.16000366210938,2.20599365234375,44,2025-06-11 20:55:00+00:00,180.36609731445313,STOP_LOSS,-97.07252070312529,GOOGL,5.0,9673.601606298827,-326.3983937011745,151.0382999511707,-477.4366936523452,Google,stocks
LONG,2025-06-12 13:50:00+00:00,600.9501122070312,599.51991953125,603.8100975585937,600.9500122070312,599.52001953125,1.42999267578125,16,2025-06-12 21:05:00+00:00,603.8100975585937,TAKE_PROFIT,45.759765625,SPY,435.0,10261.587515625004,261.587515625004,261.587515625004,0.0,S&P 500 ETF,stocks
SHORT,2025-06-12 14:00:00+00:00,197.73949350585934,199.39009938964844,194.43868173828116,199.38999938964844,197.73959350585935,1.650405883789091,50,2025-06-12 17:15:00+00:00,199.39009938964844,STOP_LOSS,-82.53029418945488,AAPL,195.0,9866.545585864253,-133.45441413574656,-50.92411994629168,-82.53029418945488,Apple,stocks
LONG,2025-06-12 14:05:00+00:00,532.52011953125,530.8498755859375,535.860207421875,532.52001953125,530.8499755859375,1.6700439453125,18,2025-06-12 20:50:00+00:00,530.8498755859375,STOP_LOSS,-30.064391015624096,QQQ,405.0,9943.580270898437,-56.41972910155437,12.584721093753615,-69.00445019530798,Nasdaq ETF,stocks
LONG,2025-06-12 14:10:00+00:00,213.1301048828125,211.32990183105468,216.73011098632813,213.1300048828125,211.3300018310547,1.8000030517578125,46,2025-06-12 20:45:00+00:00,211.32990183105468,STOP_LOSS,-82.80934038085968,AMZN,395.0,9804.74180407715,-195.25819592285154,95.82493144531247,-291.083127368164,Amazon,stocks
SHORT,2025-06-12 15:10:00+00:00,311.4099036621094,313.1001061035156,308.0298987792969,313.1000061035156,311.4100036621094,1.69000244140625,32,2025-06-13 13:50:00+00:00,313.1001061035156,STOP_LOSS,-54.08647812499839,GLD,1360.0,10214.133293066414,214.13329306641492,268.23297119141,-54.09967812499508,Gold ETF,commodities
LONG,2025-06-12 16:00:00+00:00,329.3529137207031,322.7698890136719,342.5185631347656,329.3528137207031,322.7699890136719,6.58282470703125,15,2025-06-12 17:45:00+00:00,322.7698890136719,STOP_LOSS,-98.745370605468,TSLA,105.0,10373.372355273443,373.37235527344046,472.11772587890846,-98.745370605468,Tesla,stocks
